cod_ibge,municipio,uf,caminho
5300108,Brasília,DF,DF/ATM_5300108_Brasilia_DF.pdf
5200050,Abadia de Goiás,GO,GO/ATM_5200050_Abadia_de_Goias_GO.pdf
5200100,Abadiânia,GO,GO/ATM_5200100_Abadiania_GO.pdf
5200134,Acreúna,GO,GO/ATM_5200134_Acreuna_GO.pdf
5200159,Adelândia,GO,GO/ATM_5200159_Adelandia_GO.pdf
5200308,Alexânia,GO,GO/ATM_5200308_Alexania_GO.pdf
5200506,Aloândia,GO,GO/ATM_5200506_Aloandia_GO.pdf
5200555,Alto Horizonte,GO,GO/ATM_5200555_Alto_Horizonte_GO.pdf
5200605,Alto Paraíso de Goiás,GO,GO/ATM_5200605_Alto_Paraiso_de_Goias_GO.pdf
5200803,Alvorada do Norte,GO,GO/ATM_5200803_Alvorada_do_Norte_GO.pdf
5200829,Amaralina,GO,GO/ATM_5200829_Amaralina_GO.pdf
5200852,Americano do Brasil,GO,GO/ATM_5200852_Americano_do_Brasil_GO.pdf
5200902,Amorinópolis,GO,GO/ATM_5200902_Amorinopolis_GO.pdf
5201207,Anhanguera,GO,GO/ATM_5201207_Anhanguera_GO.pdf
5201306,Anicuns,GO,GO/ATM_5201306_Anicuns_GO.pdf
5201108,Anápolis,GO,GO/ATM_5201108_Anapolis_GO.pdf
5201405,Aparecida de Goiânia,GO,GO/ATM_5201405_Aparecida_de_Goiania_GO.pdf
5201454,Aparecida do Rio Doce,GO,GO/ATM_5201454_Aparecida_do_Rio_Doce_GO.pdf
5201504,Aporé,GO,GO/ATM_5201504_Apore_GO.pdf
5201702,Aragarças,GO,GO/ATM_5201702_Aragarcas_GO.pdf
5201801,Aragoiânia,GO,GO/ATM_5201801_Aragoiania_GO.pdf
5202155,Araguapaz,GO,GO/ATM_5202155_Araguapaz_GO.pdf
5201603,Araçu,GO,GO/ATM_5201603_Aracu_GO.pdf
5202353,Arenópolis,GO,GO/ATM_5202353_Arenopolis_GO.pdf
5202502,Aruanã,GO,GO/ATM_5202502_Aruana_GO.pdf
5202601,Aurilândia,GO,GO/ATM_5202601_Aurilandia_GO.pdf
5202809,Avelinópolis,GO,GO/ATM_5202809_Avelinopolis_GO.pdf
5203104,Baliza,GO,GO/ATM_5203104_Baliza_GO.pdf
5203203,Barro Alto,GO,GO/ATM_5203203_Barro_Alto_GO.pdf
5203302,Bela Vista de Goiás,GO,GO/ATM_5203302_Bela_Vista_de_Goias_GO.pdf
5203401,Bom Jardim de Goiás,GO,GO/ATM_5203401_Bom_Jardim_de_Goias_GO.pdf
5203500,Bom Jesus de Goiás,GO,GO/ATM_5203500_Bom_Jesus_de_Goias_GO.pdf
5203559,Bonfinópolis,GO,GO/ATM_5203559_Bonfinopolis_GO.pdf
5203575,Bonópolis,GO,GO/ATM_5203575_Bonopolis_GO.pdf
5203609,Brazabrantes,GO,GO/ATM_5203609_Brazabrantes_GO.pdf
5203807,Britânia,GO,GO/ATM_5203807_Britania_GO.pdf
5203906,Buriti Alegre,GO,GO/ATM_5203906_Buriti_Alegre_GO.pdf
5203939,Buriti de Goiás,GO,GO/ATM_5203939_Buriti_de_Goias_GO.pdf
5203962,Buritinópolis,GO,GO/ATM_5203962_Buritinopolis_GO.pdf
5204003,Cabeceiras,GO,GO/ATM_5204003_Cabeceiras_GO.pdf
5204102,Cachoeira Alta,GO,GO/ATM_5204102_Cachoeira_Alta_GO.pdf
5204250,Cachoeira Dourada,GO,GO/ATM_5204250_Cachoeira_Dourada_GO.pdf
5204201,Cachoeira de Goiás,GO,GO/ATM_5204201_Cachoeira_de_Goias_GO.pdf
5204409,Caiapônia,GO,GO/ATM_5204409_Caiaponia_GO.pdf
5204508,Caldas Novas,GO,GO/ATM_5204508_Caldas_Novas_GO.pdf
5204557,Caldazinha,GO,GO/ATM_5204557_Caldazinha_GO.pdf
5204607,Campestre de Goiás,GO,GO/ATM_5204607_Campestre_de_Goias_GO.pdf
5204656,Campinaçu,GO,GO/ATM_5204656_Campinacu_GO.pdf
5204706,Campinorte,GO,GO/ATM_5204706_Campinorte_GO.pdf
5204805,Campo Alegre de Goiás,GO,GO/ATM_5204805_Campo_Alegre_de_Goias_GO.pdf
5204854,Campo Limpo de Goiás,GO,GO/ATM_5204854_Campo_Limpo_de_Goias_GO.pdf
5204904,Campos Belos,GO,GO/ATM_5204904_Campos_Belos_GO.pdf
5204953,Campos Verdes,GO,GO/ATM_5204953_Campos_Verdes_GO.pdf
5205000,Carmo do Rio Verde,GO,GO/ATM_5205000_Carmo_do_Rio_Verde_GO.pdf
5205059,Castelândia,GO,GO/ATM_5205059_Castelandia_GO.pdf
5205109,Catalão,GO,GO/ATM_5205109_Catalao_GO.pdf
